DATE,IR3TIB01NOM156N
1980-01-01,12.7000000000000000
1980-04-01,12.4666666666666667
1980-07-01,11.7000000000000000
1980-10-01,12.0666666666666667
1981-01-01,12.1666666666666667
1981-04-01,12.5333333333333333
1981-07-01,13.3666666666666667
1981-10-01,14.4333333333333333
1982-01-01,14.3333333333333333
1982-04-01,16.5000000000000000
1982-07-01,15.4000000000000000
1982-10-01,15.2333333333333333
1983-01-01,13.7666666666666667
1983-04-01,13.4333333333333333
1983-07-01,13.0666666666666667
1983-10-01,12.9333333333333333
1984-01-01,13.1666666666666667
1984-04-01,12.9333333333333333
1984-07-01,12.8333333333333333
1984-10-01,13.1333333333333333
1985-01-01,12.5000000000000000
1985-04-01,12.6000000000000000
1985-07-01,12.5333333333333333
1985-10-01,12.4666666666666667
1986-01-01,13.2333333333333333
1986-04-01,14.2933333333333333
1986-07-01,14.4566666666666667
1986-10-01,15.5833333333333333
1987-01-01,15.4333333333333333
1987-04-01,14.5333333333333333
1987-07-01,14.1333333333333333
1987-10-01,14.7500000000000000
1988-01-01,14.3666666666666667
1988-04-01,13.5333333333333333
1988-07-01,13.3833333333333333
1988-10-01,12.7566666666666667
1989-01-01,11.3800000000000000
1989-04-01,11.1100000000000000
1989-07-01,11.1066666666666667
1989-10-01,11.9200000000000000
1990-01-01,11.8200000000000000
1990-04-01,11.8433333333333333
1990-07-01,11.0033333333333333
1990-10-01,11.4900000000000000
1991-01-01,11.0633333333333333
1991-04-01,10.2500000000000000
1991-07-01,10.4166666666666667
1991-10-01,10.5266666666666667
1992-01-01,10.5033333333333333
1992-04-01,10.3766666666666667
1992-07-01,12.2666666666666667
1992-10-01,14.1833333333333333
1993-01-01,9.5666666666666667
1993-04-01,7.5000000000000000
1993-07-01,6.2600000000000000
1993-10-01,5.7333333333333333
1994-01-01,5.2333333333333333
1994-04-01,5.3466666666666667
1994-07-01,6.0233333333333333
1994-10-01,6.8000000000000000
1995-01-01,5.5366666666666667
1995-04-01,5.6066666666666667
1995-07-01,5.4400000000000000
1995-10-01,5.3300000000000000
1996-01-01,5.2200000000000000
1996-04-01,4.7966666666666667
1996-07-01,5.0333333333333333
1996-10-01,4.5233333333333333
1997-01-01,3.5166666666666667
1997-04-01,3.4900000000000000
1997-07-01,3.9933333333333333
1997-10-01,3.9300000000000000
1998-01-01,3.9133333333333333
1998-04-01,4.4800000000000000
1998-07-01,6.7066666666666667
1998-10-01,8.0400000000000000
1999-01-01,7.2900000000000000
1999-04-01,6.5633333333333333
1999-07-01,6.1366666666666667
1999-10-01,6.1633333333333333
2000-01-01,5.9233333333333333
2000-04-01,6.4833333333333333
2000-07-01,7.1200000000000000
2000-10-01,7.4566666666666667
2001-01-01,7.3733333333333333
2001-04-01,7.4500000000000000
2001-07-01,7.2733333333333333
2001-10-01,6.8100000000000000
2002-01-01,6.5366666666666667
2002-04-01,6.9300000000000000
2002-07-01,7.2200000000000000
2002-10-01,6.9433333333333333
2003-01-01,5.7233333333333333
2003-04-01,4.7400000000000000
2003-07-01,3.1333333333333333
2003-10-01,2.7966666666666667
2004-01-01,2.0366666666666667
2004-04-01,1.9966666666666667
2004-07-01,2.0000000000000000
2004-10-01,1.9933333333333333
2005-01-01,1.9666666666666667
2005-04-01,2.0933333333333333
2005-07-01,2.2733333333333333
2005-10-01,2.5133333333333333
2006-01-01,2.6033333333333333
2006-04-01,2.9300000000000000
2006-07-01,3.2300000000000000
2006-10-01,3.6333333333333333
2007-01-01,4.2033333333333333
2007-04-01,4.6300000000000000
2007-07-01,5.1933333333333333
2007-10-01,5.8033333333333333
2008-01-01,5.9600000000000000
2008-04-01,6.3966666666666667
2008-07-01,6.6033333333333333
2008-10-01,5.9133333333333333
2009-01-01,3.4500000000000000
2009-04-01,2.4566666666666667
2009-07-01,1.8933333333333333
2009-10-01,2.0533333333333333
2010-01-01,2.2733333333333333
2010-04-01,2.5200000000000000
2010-07-01,2.6600000000000000
2010-10-01,2.5533333333333333
2011-01-01,2.6066666666666667
2011-04-01,2.7533333333333333
2011-07-01,3.0400000000000000
2011-10-01,3.0866666666666667
2012-01-01,2.6000000000000000
2012-04-01,2.3266666666666667
2012-07-01,2.1100000000000000
2012-10-01,1.9033333333333333
2013-01-01,1.8698157893333333
2013-04-01,1.7728709273333333
2013-07-01,1.7084174040000000
2013-10-01,1.6691660306666667
2014-01-01,1.6852366523333333
2014-04-01,1.7917017543333333
2014-07-01,1.7128358113333333
2014-10-01,1.6063840580000000
2015-01-01,1.3826984126666667
2015-04-01,1.4366666666666667
2015-07-01,1.21000000000000000000
2015-10-01,1.13333333333333333333
2016-01-01,1.09000000000000000000
2016-04-01,0.99333333333333333333
2016-07-01,1.06000000000000000000
2016-10-01,1.12333333333333333333
2017-01-01,1.02000000000000000000
2017-04-01,0.91666666666666666667
2017-07-01,0.81333333333333333333
2017-10-01,0.81000000000000000000
2018-01-01,0.94666666666666666667
2018-04-01,1.07333333333333333333
2018-07-01,1.05666666666666666667
2018-10-01,1.19000000000000000000
2019-01-01,1.29000000000000000000
2019-04-01,1.4566666666666667
2019-07-01,1.6266666666666667
2019-10-01,1.8366666666666667
2020-01-01,1.6566666666666667
2020-04-01,0.46666666666666666667
2020-07-01,0.28000000000000000000
2020-10-01,0.39333333333333333333
2021-01-01,0.43666666666666666667
2021-04-01,0.24666666666666666667
2021-07-01,0.47000000000000000000
2021-10-01,0.86333333333333333333
2022-01-01,1.19666666666666666667
2022-04-01,1.3966666666666667
